"","Mnemonic","LOANID","Intercept","MR","RDIGR","CPIL1EGR","AGE","AGE2","ORIGSC","ELTV","INSURANCE","NUM30","UNEMP","JUMBO","NUM60","HPI"
"1",1990-03-31,8738693,1,10.12016675,NA,NA,214.999999999998,46224.9999999992,636,0.0577333381648833,0,0,5.766667,0,0,80.594
"2",1990-06-30,8738693,1,10.31416667,2.41614251093554,5.32535465181792,214.999999999998,46224.9999999992,636,0.0578489010239654,0,0,5.9,0,0,80.433
"3",1990-09-30,8738693,1,10.10333327,0.149554387367923,6.08194360315613,214.999999999998,46224.9999999992,636,0.0579100992689377,0,0,6.2,0,0,80.348
"4",1990-12-31,8738693,1,9.954666837,-3.13336630533672,4.67060978412308,214.999999999998,46224.9999999992,636,0.0579382218189818,0,0,6.633333,0,0,80.309
"5",1991-03-31,8738693,1,9.490666676,0.854856407216187,5.92142480128275,214.999999999998,46224.9999999992,636,0.0583985222157313,0,0,7.1,0,0,79.676
"6",1991-06-30,8738693,1,9.526499907,2.79592166375702,3.66669028876492,214.999999999998,46224.9999999992,636,0.0582741860088246,0,0,7.5,0,0,79.846
"7",1991-09-30,8738693,1,9.275500027,1.46171160798363,4.41075622273641,214.999999999998,46224.9999999992,636,0.058231886464515,0,0,7.7,0,0,79.904
"8",1991-12-31,8738693,1,8.677499882,3.46400731323671,3.78566997106309,214.999999999998,46224.9999999992,636,0.05842345315362,0,0,8.066667,0,0,79.642
"9",1992-03-31,8738693,1,8.709833241,8.86756859795501,3.56020647618427,214.999999999998,46224.9999999992,636,0.0584337250221104,0,0,8.466666,0,0,79.628
"10",1992-06-30,8738693,1,8.663333432,4.24765144019854,3.52880101758375,214.999999999998,46224.9999999992,636,0.0581358470695763,0,0,8.433333,0,0,80.036
"11",1992-09-30,8738693,1,8.008500077,1.75860811912931,3.12548352115956,214.999999999998,46224.9999999992,636,0.0582311577005269,0,0,8.2,0,0,79.905
"12",1992-12-31,8738693,1,8.199666573,1.38024411144999,3.65593206451229,214.999999999998,46224.9999999992,636,0.0582348017028862,0,0,7.8,0,0,79.9
"13",1993-03-31,8738693,1,7.723333359,2.26211325717183,3.53107111523741,214.999999999998,46224.9999999992,636,0.0572636841555671,0,0,7.4,0,0,81.255
"14",1993-06-30,8738693,1,7.451500026,0.704910935557268,3.40929635985883,214.999999999998,46224.9999999992,636,0.0570796356104936,0,0,7.133333,0,0,81.517
"15",1993-09-30,8738693,1,7.076166614,0.235263220416715,2.39324596700989,214.999999999998,46224.9999999992,636,0.0565695746736931,0,0,6.966667,0,0,82.252
"16",1993-12-31,8738693,1,7.048999977,2.6553112504988,3.1813696703082,214.999999999998,46224.9999999992,636,0.0561775367162558,0,0,6.9,0,0,82.826
"17",1994-03-31,8738693,1,7.320166707,2.83247747673701,2.62510660480972,214.999999999998,46224.9999999992,636,0.0555458009748425,0,0,6.866667,0,0,83.768
"18",1994-06-30,8738693,1,8.471500015,4.30500329439343,2.78365265674745,214.999999999998,46224.9999999992,636,0.0552306418828266,0,0,6.6,0,0,84.246
"19",1994-09-30,8738693,1,8.59249994,2.39866459054845,3.02648653132314,214.999999999998,46224.9999999992,636,0.054906725700773,0,0,6.3,0,0,84.743
"20",1994-12-31,8738693,1,9.097666661,5.67683398279275,2.57056305793726,214.999999999998,46224.9999999992,636,0.0544798512541198,0,0,5.866667,0,0,85.407
"21",1995-03-31,8738693,1,8.812333266,3.87008453421376,3.41630687512984,214.999999999998,46224.9999999992,636,0.0544575344217201,0,0,5.5,0,0,85.442
"22",1995-06-30,8738693,1,7.947000051,0.912813266699608,3.30166005596408,214.999999999998,46224.9999999992,636,0.0542530742043352,0,0,5.466667,0,0,85.764
"23",1995-09-30,8738693,1,7.68416671,3.62213956413349,2.68104128279063,214.999999999998,46224.9999999992,636,0.0539242372090883,0,0,5.6,0,0,86.287
"24",1995-12-31,8738693,1,7.336833334,2.33552846114051,2.83138864504879,214.999999999998,46224.9999999992,636,0.0534792328723706,0,0,5.533333,0,0,87.005
"25",1996-03-31,8738693,1,7.283166663,3.88231690899941,2.72796173616876,214.999999999998,46224.9999999992,636,0.053360864424191,0,0,5.333333492,0,0,87.198
"26",1996-06-30,8738693,1,8.105000043,3.87894487046643,2.3781637859688,214.999999999998,46224.9999999992,636,0.0530741842163205,0,0,5.2,0,0,87.669
"27",1996-09-30,8738693,1,8.158999952,3.22715190054947,2.61104190255306,214.999999999998,46224.9999999992,636,0.0528595359961443,0,0,5.066666603,0,0,88.025
"28",1996-12-31,8738693,1,7.687666758,2.10107212476056,2.59410920905003,214.999999999998,46224.9999999992,636,0.0526585332449905,0,0,5,0,0,88.361
"29",1997-03-31,8738693,1,7.790499997,4.07541417575452,2.33367116699763,214.999999999998,46224.9999999992,636,0.0524525483165059,0,0,5,0,0,88.708
"30",1997-06-30,8738693,1,7.925499972,3.4641492650052,2.56243284814925,214.999999999998,46224.9999999992,636,0.0522059606635543,0,0,4.866667,0,0,89.127
"31",1997-09-30,8738693,1,7.470000021,4.84485494587281,1.74529789493887,214.999999999998,46224.9999999992,636,0.0518337546766697,0,0,4.666666508,0,0,89.767
"32",1997-12-31,8738693,1,7.198000002,5.85828647813529,2.29534547090293,214.999999999998,46224.9999999992,636,0.0513804332651708,0,0,4.533333302,0,0,90.559
"33",1998-03-31,8738693,1,7.054666638,8.79931598248749,2.44107279665495,214.999999999998,46224.9999999992,636,0.0507721253552945,0,0,4.466666698,0,0,91.644
