Mnemonic,Tag,FLBR.US,FET.US,FGDP_.US,FC_.US,FCD_.US,FCN_.US,FCS_.US,FI_.US,FIF_.US,FIFN_.US,FIFNS_.US,FIFR_.US,FEXG_.US,FEXS_.US,FIMG_.US,FIMS_.US,FG_.US,FAWHTP.US,FIP.US,FTWDBRD.US,FYPQ.US,FYLE.US,FYPDPIQ.US,FYPDPI_Q.US,FYPSAVQ.US,FCPIU.US,FCPIUL1E.US,FCPWTI.US,FPDPC.US,FPDPGDP.US,FAHETP.US,FHST.US,FHST1.US,FHSTMF.US,FGDP.US,FYHHMEDQ.US,FPPISP3500.US,FPPISP3000.US,FHN1.US,FHN1SUPQ.US,FRVEHL.US,FZPAVN.US,FMBAD.US,FBCFCOFCCQ.US,FCBC.US,FCCALLQ.US,FCCREVQ.US,FCCNREVQ.US,FBBABLLICBQ.US,FBBABLLRCBQ.US,FBBABLLCCBQ.US,FHX1.US,FBKBY.US,FBKPY.US,FCPGASQ.US,FDJMIIUSDDWCFTDQ.US,FRFHLMCFM.US,FG.US,FI.US,FIF.US,FZFL075035503Q.US,FZ.US,FRFED.US,FRPRIME.US,FRILIBOR1M.US,FRILIBOR3M.US,FRILIBOR6M.US,FRILIBOR12M.US,FRTB3M.US,FRTB6M.US,FRGT1Y.US,FIRSWP1YQ.US,FRGT2Y.US,FIRSWP2YQ.US,FRGT3Y.US,FIRSWP3YQ.US,FRGT5Y.US,FIRSWP5YQ.US,FRGT7Y.US,FIRSWP7YQ.US,FRGT10Y.US,FIRSWP10YQ.US,FRGT20Y.US,FRGT30Y.US,FIRSWP30YQ.US,FRBAAC.US,FSPVOL.US,FIFNE_Q.US,FIFNIP_Q.US,FABABC.US,FCUMF.US,FLBR.TX,FLBR.MI,FLBR.CA,FLBR.FL,FLBR.AZ,FABAHE.US,FHCLHP1TIM.TX,FHCLHP1TIM.MI,FHCLHP1TIM.CA,FHCLHP1TIM.FL,FHCLHP1TIM.AZ,FHCLHP1TIM.US,FMOF14TQ.US,FMOF14RQ.US,FMOF14PQ.US,FCBOEVIXQ.US,FRPRIME.US
date,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
6/30/1992,HI,7.6,108.6333333,9223.545,5857.169,388.3390427,1427.056666,4195.285918,1245.738,1228.943182,803.2130493,380.7532081,434.3539316,480.5486113,253.4305876,593.2590834,178.0508734,2256.764,34.26666667,65.21813333,76.91836667,5389.113,3654.355,4781.976,6711.357,9.4,139.7333333,146.7333333,21.22539683,71.258,70.457,10.74333333,1.152666667,0.994,0.158666667,6492.299,31649.21981,134.0666667,122.9333333,0.565333333,5.9,12.8292,188.167,4.66,4.78,69.85845693,845.00465,272.46402,572.54043,602.5877,880.7677333,357.8369667,3.096666667,72650,899840,,3930.326,8.663333432,1338.666,1013.062,989.853,93.214,477.827,3.818125,6.5,3.972720328,4.041367869,4.183401639,4.621285902,3.67984127,3.796507937,4.217777778,,5.203174603,,5.775238095,,6.64984127,,7.037142857,,7.376031746,,,7.897619111,,9.130000114,0.658056215,299.5776802,213.6700733,2.93,79.6332,7.7,9.266666,9.166667,8.433333,7.766667,0.734323859,75.288,61.845,81.699,80.036,68.897,76.332,855.8170165,327.2443847,528.5726318,15.61634921,6.5
9/30/1992,HI,7.633333333,108.896,9313.208,5920.598,396.6176873,1435.561409,4240.429404,1255.778,1243.204012,815.627218,384.2676644,434.5382857,495.1300562,252.9759052,605.329413,177.2808217,2268.397,34.23333333,65.71773333,75.4313,5449.595,3690.676,4833.466,6740.671,8.8,140.8,147.8666667,21.65046875,71.712,70.785,10.81,1.183666667,1.015,0.168666667,6586.548,31897.55722,134.4,123.4666667,0.637666667,5.166666667,12.7784,191.018,4.58,4.34,59.17450968,847.92723,274.93335,572.99369,598.3036333,880.6006667,354.9556667,3.033333333,71725,905753,,4024.356,8.008500077,1355.421,1024.205,1003.693,90.705,463.208,3.312769231,6.0078125,3.379567385,3.417427846,3.522355846,3.703966308,3.08359375,3.1509375,3.42015625,,4.15078125,,4.685625,,5.60796875,,6.15,,6.61875,,,7.445625,,8.703333219,0.57596095,306.3751348,215.085946,3.14,79.83563333,7.633333,8.933333,9.6,8.2,7.5,0.76206553,76.303,62.224,80.266,79.905,69.521,76.242,922.8145112,508.2577958,414.5567154,13.90203125,6.0078125
12/31/1992,HI,7.366666667,109.308,9406.528,5991.057,404.4972379,1449.938992,4287.567448,1294.229,1279.686617,837.1069968,389.3859747,451.1301541,498.7834058,252.7302721,620.9938064,179.9917179,2263.51,34.2,66.41076667,79.51176667,5523.345,3741.881,4884.216,6763.811,8.2,142.0333333,149.2,20.51596774,72.217,71.275,10.87,1.228333333,1.082,0.146333333,6697.553,32104.22976,135.0666667,124.1666667,0.628333333,5.166666667,13.2804,193.722,4.31,4.47,66.09336472,853.84702,280.20606,573.64077,596.73,886.8749333,353.0463333,3.34,70643,900874,,4289.735,8.199666573,1360.496,1058.008,1036.664,88.264,483.503,3.062580645,6,3.409424063,3.620483594,3.667114375,3.964233438,3.07016129,3.243870968,3.563870968,,4.444677419,,4.996290323,,5.903225806,,6.364677419,,6.740322581,,,7.520967776,,8.870000203,0.576283783,317.6505336,218.7330579,2.93,79.92113333,7.566667,8.133333,9.7,7.8,7.266667,0.846019208,76.912,62.8,80.011,79.9,70.039,76.682,914.4650499,385.9483389,528.5167111,14.76109375,6
3/31/1993,HI,7.133333333,109.9496667,9424.065,6013.833,408.4267799,1451.396326,4303.65688,1324.609,1289.126314,845.3068819,384.2106969,451.4400258,496.599917,257.6690642,637.8032114,179.4809693,2237.845,34.23333333,66.99716667,82.31793333,5557.644,3747.897,4940.854,6801.742,8.3,143.0666667,150.5,19.84409836,72.646,71.704,10.95333333,1.167666667,1.034666667,0.133,6748.182,32184.59007,135.8666667,124.7,0.600666667,5.366666667,12.9776,196.56,4.32,4.1,69.48020808,861.38462,286.6468,574.73764,593.4119333,887.6137667,358.4065,3.233333333,68016,871919,,4444.303,7.723333359,1351.504,1083.901,1047.961,87.385,481.265,3.09704918,6,3.186135873,3.273561587,3.395337302,3.720114127,2.96,3.087213115,3.400327869,,4.133114754,,4.622131148,,5.466721311,,5.910327869,,6.258196721,,,7.067049175,,8.403333346,0.529426752,323.6748181,221.3444342,2.74,80.27886667,7.4,7.333333492,9.633333,7.4,6.933333,0.683703721,77.009,63.187,78.855,81.255,70.494,76.872,773.5653952,276.7605917,496.8048034,13.25532258,6
6/30/1993,HI,7.066666667,110.5436667,9480.106,6067.801,421.6889845,1462.946245,4324.666219,1332.119,1312.198877,861.8209931,377.7865163,457.460952,502.990616,260.1985619,652.2748845,181.5200347,2240.344,34.33333333,67.14516667,82.0318,5626.489,3803.286,4982.925,6813.697,7.7,144.1,151.7666667,19.79920635,73.136,72.136,11.01333333,1.266,1.106333333,0.159666667,6829.594,32282.91003,136.5,125.5333333,0.66,5.066666667,14.2124,201.107,4.27,3.95,62.67166392,871.54014,291.71765,579.8223,588.0037333,897.7402333,362.8386333,3.246666667,66428,852306,,4449.569,7.451500026,1360.859,1094.466,1070.362,86.514,509.386,3.02140625,6,3.17584541,3.271900656,3.39562,3.678790984,2.967619048,3.080952381,3.384126984,,3.995714286,,4.414603175,,5.182857143,,5.620793651,,5.988095238,,,6.858412712,,8.140000025,0.609099804,336.631862,223.4654887,2.63,80.17936667,7.166666508,7.2,9.466666,7.133333,6.466667,0.709838152,78.022,63.748,77.717,81.517,71.245,77.245,1049.693858,623.7064264,425.9874316,12.9731746,6
9/30/1993,HI,6.8,111.2396667,9526.337,6134.756,426.3860152,1477.410833,4374.131247,1323.144,1332.901388,868.8284647,378.7111425,474.5823481,499.0709872,262.8639418,660.5603149,184.3016499,2245.097,34.36666667,67.41886667,84.2353,5666.861,3838.039,5007.67,6817.701,6.8,144.7666667,152.6666667,17.81296875,73.455,72.504,11.07666667,1.299,1.130333333,0.168666667,6904.222,32375.54357,135.4666667,124.3666667,0.675333333,5.233333333,13.6988,207.605,4.21,3.69,60.76436361,888.33131,301.20439,587.12675,586.994,907.473,371.5654,3.496666667,64857,832374,,4601.836,7.076166614,1370.605,1095.941,1089.343,86.432,523.613,3.09359375,6,3.174682656,3.254394531,3.445190469,3.653808594,3.00125,3.11875,3.42515625,,3.97390625,,4.32015625,,4.95140625,,5.30265625,,5.6153125,,,6.315468729,,7.623333295,0.455918684,340.5041561,224.7987229,2.66,80.01726667,7.066667,7.2,9.366667,6.966667,6.133333,0.718651175,78.934,64.536,76.883,82.252,72.365,77.8,1260.951595,748.3547737,512.5968216,12.1171875,6
12/31/1993,HI,6.633333333,112.0166667,9653.509,6189.096,436.6498973,1487.699179,4403.052332,1392.54,1386.318728,900.0598996,390.236105,498.9170883,520.1070381,264.9701145,687.9292704,190.6192165,2249.95,34.4,68.43466667,86.54933333,5744.952,3893.463,5069.477,6862.515,6.6,145.9666667,153.8666667,16.47677419,73.877,72.913,11.15333333,1.433666667,1.251,0.182666667,7032.844,32615.17379,135.3333333,124.3333333,0.761666667,4.766666667,14.606,216.008,4.1,3.34,70.72464879,913.37891,311.66443,601.71431,583.8530667,920.9015333,380.9370667,3.706666667,62304,812897,,4657.828,7.048999977,1381.277,1152.995,1136.383,86.351,573.729,2.99125,6,3.23999,3.417480469,3.468261719,3.7103275,3.059354839,3.205,3.528709677,,4.085,,4.408709677,,4.977903226,,5.333387097,,5.615967742,,6.285967742,6.137419378,,7.553333282,0.453068926,359.2664196,224.7546491,2.49,80.97423333,7,7.166666508,9.266666,6.9,6.1,0.69198209,79.929,65.353,76.202,82.826,73.94,78.337,1089.140857,568.5737549,520.567102,12.4215625,6
3/31/1994,HI,6.566666667,112.8723333,9748.156,6260.054,447.0468107,1507.601582,4439.619221,1446.244,1403.395261,910.2199166,377.9486545,506.3657781,520.4052707,273.765868,704.8658988,193.8487189,2222.134,34.36666667,69.27663333,90.61653333,5796.739,3917.211,5123.106,6910.602,6.2,146.7,154.8666667,14.8147619,74.139,73.291,11.23666667,1.391,1.193,0.198,7136.259,32822.91727,136.3333333,124.9666667,0.684,5.233333333,15.068,225.616,4.16,3.31,83.0605545,939.06149,321.53379,617.52754,590.0809,930.3024667,390.9169667,3.683333333,59571,798911,2.250636364,4457.686,7.320166707,1373.939,1202.059,1156.697,87.355,581.572,3.25,6.024193548,3.396577619,3.58221746,3.792410635,4.170262857,3.256451613,3.47,3.929677419,,4.559677419,,4.927258065,,5.498387097,,5.834354839,,6.090322581,,6.669516129,6.580483867,,7.846666813,0.517682202,369.4464939,227.5147746,2.54,81.39563333,6.866667,6.8,9.1,6.866667,6.2,0.748267531,80.469,66.22,75.855,83.768,75.06,78.866,1045.997543,441.8620679,604.1354752,13.43619048,6.024193548
6/30/1994,HI,6.2,113.9243333,9881.384,6308.615,451.8564065,1519.543024,4471.133231,1517.13,1431.511782,924.1858564,393.6935937,522.7458354,540.7702982,279.3840706,736.0674622,194.7052049,2235.145,34.5,70.5236,91.79753333,5904.053,3997.197,5206.218,6983.806,6.4,147.5333333,155.9333333,17.80741935,74.552,73.652,11.29,1.466666667,1.214333333,0.252333333,7269.847,33155.97603,136.9333333,125.1333333,0.668,5.566666667,14.8976,233.781,4.16,3.02,91.16397349,971.94436,336.60921,635.33497,604.8457,939.9993667,403.3032667,3.68,56748,788509,2.043016129,4395.22,8.471500015,1392.446,1265.089,1183.678,88.371,604.48,3.95140625,6.908730159,4.196977541,4.483862787,4.845927377,5.445952951,3.999032258,4.424516129,5.14483871,,5.826774194,,6.207258065,,6.671612903,,6.909032258,,7.089516129,,7.487903226,7.362258073,,8.596666654,0.682225603,371.6693582,230.5448524,2.56,82.59896667,6.666666508,6.1,8.8,6.6,6.266667,0.612540603,80.947,67.109,75.592,84.246,76.389,79.436,835.2741755,235.7476702,599.5265053,14.51258065,6.908730159
9/30/1994,HI,6,114.9256667,9939.655,6357.469,456.6148363,1532.637282,4501.716447,1492.158,1443.118963,939.7525706,390.9766824,515.0461102,568.9745831,279.5356314,761.559871,194.0019435,2272.694,34.53333333,71.42256667,90.5639,5969.908,4035.07,5274.536,7025.314,6.2,148.9,157.1,18.47921875,75.084,74.021,11.36333333,1.454333333,1.193666667,0.260666667,7352.255,33531.50601,137.5333333,125.9333333,0.653666667,6.133333333,14.8068,240.002,3.91,2.97,90.38773346,1005.10394,351.84032,653.26344,621.1425333,957.9956,420.2758333,3.446666667,54425,783372,1.75375,4605.822,8.59249994,1424.416,1251.594,1198.371,89.332,638.544,4.5159375,7.5078125,4.726802923,4.969831846,5.350961538,5.857331692,4.48046875,4.8915625,5.60125,,6.233125,,6.55421875,,6.95515625,,7.15421875,,7.32796875,,7.7175,7.589375012,,8.839999835,0.528636357,381.3210996,234.704323,2.44,83.0292,6.366667,5.666666508,8.466666,6.3,6.266667,0.690259397,81.274,68.016,75.726,84.743,77.632,79.93,601.4733414,101.6617707,499.8115707,12.51625,7.5078125
