"","Mnemonic","LOANID","HPI_IND","RGDPGR","ORIGLTV","FLBR.FL"
"1",1990-03-31,8738693,0.820220030735098,NA,100,5.766667
"2",1990-06-30,8738693,0.818581503984368,1.55577058843237,100,5.9
"3",1990-09-30,8738693,0.817716443277461,0.0988149260841009,100,6.2
"4",1990-12-31,8738693,0.817319533070762,-3.36637586117045,100,6.633333
"5",1991-03-31,8738693,0.8108773751005,-1.86388264255511,100,7.1
"6",1991-06-30,8738693,0.812607496514314,3.14055903693966,100,7.5
"7",1991-09-30,8738693,0.813197773231969,1.93391567072732,100,7.7
"8",1991-12-31,8738693,0.810531350817737,1.75774941518685,100,8.066667
"9",1992-03-31,8738693,0.810388870230717,4.80934812001355,100,8.466666
"10",1992-06-30,8738693,0.814541161623872,4.48412383579,100,8.433333
"11",1992-09-30,8738693,0.813207950416756,3.94550807358778,100,8.2
"12",1992-12-31,8738693,0.81315706449282,4.06871693006567,100,7.8
"13",1993-03-31,8738693,0.8269471498794,0.747825487700093,100,7.4
"14",1993-06-30,8738693,0.829613572293632,2.39993520773634,100,7.133333
"15",1993-09-30,8738693,0.837093803112183,1.96496867153226,100,6.966667
"16",1993-12-31,8738693,0.842935507180004,5.44768744241906,100,6.9
"17",1994-03-31,8738693,0.852522415249494,3.97981948177577,100,6.866667
"18",1994-06-30,8738693,0.857387109577749,5.57989469520883,100,6.6
"19",1994-09-30,8738693,0.862445170416959,2.37976662927029,100,6.3
"20",1994-12-31,8738693,0.869202821115623,4.61987469955019,100,5.866667
"21",1995-03-31,8738693,0.869559022583173,1.37424545862213,100,5.5
"22",1995-06-30,8738693,0.872836076084633,1.40495986172187,100,5.466667
"23",1995-09-30,8738693,0.87815874372831,3.46840352058728,100,5.6
"24",1995-12-31,8738693,0.885465962405479,2.87005798454332,100,5.533333
"25",1996-03-31,8738693,0.887430159069398,2.64993430646658,100,5.333333492
"26",1996-06-30,8738693,0.892223613104143,7.16904343942739,100,5.2
"27",1996-09-30,8738693,0.895846690888367,3.75174245788672,100,5.066666603
"28",1996-12-31,8738693,0.899266224976847,4.29371992191352,100,5
"29",1997-03-31,8738693,0.902797708097986,3.0837546537658,100,5
"30",1997-06-30,8738693,0.907061948523799,6.17224521084754,100,4.866667
"31",1997-09-30,8738693,0.913575346787572,5.19137472656199,100,4.666666508
"32",1997-12-31,8738693,0.92163567713899,3.14008448202121,100,4.533333302
"33",1998-03-31,8738693,0.932677922633041,4.01679679534315,100,4.466666698
"34",1998-06-30,8738693,0.939405041777344,3.93623490126462,100,4.333333492
"35",1998-09-30,8738693,0.949246379466512,5.33638374374841,100,4.266667
"36",1998-12-31,8738693,0.960726243906411,6.72958072491614,100,4.133333
"37",1999-03-31,8738693,0.971961855911418,3.23246270762581,100,4
"38",1999-06-30,8738693,0.984703691264922,3.33986805718893,100,3.933333397
"39",1999-09-30,8738693,1,5.1299206326854,100,3.833333254
"40",1999-12-31,8738693,1.01452284269125,7.1261591970025,100,3.733333349
"41",2000-03-31,8738693,1.03397144281949,1.16575400629655,100,3.7
"42",2000-06-30,8738693,1.05502803814409,7.77183924697753,100,3.733333349
"43",2000-09-30,8738693,1.0708535604881,0.481979325796877,100,3.766666651
"44",2000-12-31,8738693,1.09627616808638,2.29305729260552,100,3.733333349
"45",2001-03-31,8738693,1.12162753539116,-1.13259863227018,100,3.966666698
"46",2001-06-30,8738693,1.14606295606509,2.13725434975072,100,4.233333
"47",2001-09-30,8738693,1.17374489868613,-1.25903258294441,100,4.6
"48",2001-12-31,8738693,1.19833297713187,1.11473894195064,100,5.9
"49",2002-03-31,8738693,1.22359274977356,3.73434922037215,100,5.966667
"50",2002-06-30,8738693,1.25834783582166,2.22524389174448,100,5.7
"51",2002-09-30,8738693,1.28759706489991,1.96158636374024,100,5.533333
"52",2002-12-31,8738693,1.3242552845032,0.254863382913562,100,5.4
"53",2003-03-31,8738693,1.3616971473351,2.0881362165192,100,5.4
"54",2003-06-30,8738693,1.39148576720708,3.7636995935229,100,5.4
"55",2003-09-30,8738693,1.43379232436723,6.86928239975635,100,5.233333
"56",2003-12-31,8738693,1.48451541334636,4.7595682912694,100,4.9
"57",2004-03-31,8738693,1.54344131326393,2.32018188919165,100,4.8
"58",2004-06-30,8738693,1.61646261411168,2.96446394466574,100,4.7
"59",2004-09-30,8738693,1.69890798807234,3.68561453720835,100,4.566666603
"60",2004-12-31,8738693,1.79050265115664,3.50252166212919,100,4.4
"61",2005-03-31,8738693,1.92506538841226,4.33248935306396,100,4.1
"62",2005-06-30,8738693,2.06453352873528,2.10489005831811,100,3.733333349
"63",2005-09-30,8738693,2.20655614243988,3.40290240184808,100,3.466667
"64",2005-12-31,8738693,2.31395597349861,2.30577424900877,100,3.333333
"65",2006-03-31,8738693,2.40050275292848,4.89285461428473,100,3.166667
"66",2006-06-30,8738693,2.40890910756267,1.20062850734961,100,3.166667
"67",2006-09-30,8738693,2.39433537894748,0.358214833246162,100,3.233333
"68",2006-12-31,8738693,2.39308358521866,3.16781078271793,100,3.366667
"69",2007-03-31,8738693,2.34549506915397,0.247345850430669,100,3.6
"70",2007-06-30,8738693,2.23339337872358,3.09495753200841,100,3.9
"71",2007-09-30,8738693,2.12408023692486,2.71761436692659,100,4.333333
"72",2007-12-31,8738693,2.01246705136425,1.43530446523061,100,4.733333
"73",2008-03-31,8738693,1.89095146500575,-2.70257259254923,100,5.2
"74",2008-06-30,8738693,1.79016680405866,2.00031843336625,100,5.933333
"75",2008-09-30,8738693,1.69867391282224,-1.90331878219561,100,6.9
